Artist,Date,Title
Imagine Dragons,2025-01-08,On Top Of The World
Myles Smith,2025-01-08,Nice To Meet You
Alex Warren ft. Ella Henderson,2025-01-08,Carry You Home
Westlife,2025-01-08,World Of Our Own
Billie Eilish,2025-01-08,Birds Of A Feather
Fergie,2025-01-08,Big Girls Don't Cry
Glass Animals,2025-01-08,Heat Waves
Drew Sycamore,2025-01-08,Lonely Heat
Noah Kahan,2025-01-08,Stick Season
Jubel ft. Neimy,2025-01-08,Dancing In The Moonlight
Jax Jones ft. MNEK,2025-01-08,Where Did You Go
Katy Perry,2025-01-08,Teenage Dream
Alex Warren,2025-01-08,Ordinary
The Weeknd,2025-01-08,Blinding Lights
Lost Frequencies,2025-01-08,Are You With Me
B.O.B. ft. Hayley Williams,2025-01-08,Airplanes
Benson Boone,2025-01-08,Beautiful Things
Rihanna,2025-01-08,Only Girl
Dua Lipa,2025-01-08,Houdini
The Weeknd,2025-01-08,Dancing In The Flames
Iyaz,2025-01-08,Replay
Teddy Swims,2025-01-08,The Door
Bruno Mars,2025-01-08,Just The Way You Are
OneRepublic,2025-01-08,Counting Stars
Jordin Sparks and Chris Brown,2025-01-08,No Air
Avicii vs. Nicki Romero,2025-01-08,I Could Be The One
Justin Timberlake,2025-01-08,Mirrors
Tobias Rahim ft. Andreas Odbjerg,2025-01-08,Stor Mand
Dermot Kennedy,2025-01-08,Outnumbered
Jonah Blacksmith,2025-01-08,Yellow Bike
David Guetta ft. MistaJam ft. John Newman,2025-01-08,If You Really Love Me
Drew Sycamore,2025-01-08,Change The World
"Robin Schulz, Lilly Wood, The Prick",2025-01-08,Prayer In C
P!nk,2025-01-08,Never Gonna Not Dance Again
Mabel,2025-01-08,Don't Call Me Up
Joel Corry and MNEK,2025-01-08,Head & Heart
Calvin Harris ft. Rag'n'Bone Man,2025-01-08,Lovers In A Past Life
The Calling,2025-01-08,Wherever You Will Go
Loreen,2025-01-08,Euphoria
Mike Posner ft. SeeB,2025-01-08,I Took A Pill In Ibiza
C21,2025-01-08,Stuck In My Heart
C21,2025-01-08,One of Us Is Lonely
Eric Prydz,2025-01-08,Call On Me
Selena Gomez ft. Marshmello,2025-01-08,Wolves
Calum Scott,2025-01-08,Dancing On My Own
Black Eyed Peas,2025-01-08,Where Is The Love
Christopher,2025-01-08,Fall So Hard
Dasha,2025-01-08,Austin
Lady Gaga ft. Colby O' Donis,2025-01-08,Just Dance
Drew Sycamore,2025-01-08,Take It Back
Eminem ft. Rihanna,2025-01-08,The Monster
"Coldplay, Little Simz, Burna Boy, Elyanna, Tini",2025-01-08,We Pray
Westlife,2025-01-08,When You're Looking Like That
Zedd and Grey ft. Maren Moris,2025-01-08,The Middle
Jonah Blacksmith,2025-01-08,House On Fire
Lewis Capaldi,2025-01-08,Someone You Loved
Avril Lavigne,2025-01-09,Complicated
Zara Larsson and David Guetta,2025-01-09,On My Love
Ed Sheeran,2025-01-09,Shape Of You
Uro,2025-01-09,Min Bror
Mark Ambor,2025-01-09,Belong Together
eminem,2025-01-09,The Real Slim Shady
Dasha,2025-01-09,Not At This Party
The Script,2025-01-09,The Man Who Can't Be Moved
Christopher,2025-01-09,Lose A You
Kygo and Ava Max,2025-01-09,Whatever
LeAnn Rimes,2025-01-09,Can't Fight The Moonlight
Drew Sycamore,2025-01-09,Another Lovesong
Flo Rida ft. Sia,2025-01-09,Wild Ones
Miley Cyrus,2025-01-09,End Of The World
