Track,Repeats,Stations,Station_Count
ROBIN SCHULZ / NERVO / KOPPY - Freaking you out,1,RadioGlobus,1
ROSÉ / BRUNO MARS - Apt.,1,RadioGlobus,1
ROYA - Feel Something,1,P3,1
RUDIMENTAL - These days,1,RadioGlobus,1
Raindropz! Vs. Le Click - Tonight Is The Night (Extended Mix),1,PartyFM,1
Rasmus Walter - Heart Of Stone,1,P4,1
Red Hot Chilli Peppers - Dani California (Teddy Cream Bootleg),1,PartyFM,1
Retinue - Tell Me Feat. Linnea Sars,1,PartyFM,1
Rihanna & Jay-Z - Umbrella,1,SkalaFM,1
Rihanna - Bitch Better Have My Money (R3hab Remix),1,PartyFM,1
Rihanna - Don't Stop the Music,1,SkalaFM,1
Rihanna - Only Girl,1,NOVA,1
Rihanna - Only Girl (In the World),1,SkalaFM,1
"Rihanna, Calvin Harris - We Found Love",1,P3,1
Robbie Rivera - Come on Home,1,PartyFM,1
Robbie Williams - Feel,1,SkalaFM,1
Robbie Williams - Love My Life,1,P4,1
Robyn - Dancing on My Own,1,SkalaFM,1
Romy - She's On My Mind,1,P3,1
Rose and Bruno Mars - Apt.,1,NOVA,1
Roxette - It Must Have Been Love,1,P4,1
Run It! - Chris Brown ft. Juelz Santana,1,TheVoice,1
Running In The Family - Level 42,1,PopFM,1
"SABRINA CARPENTER - Please, please, please",1,RadioGlobus,1
SCISSOR SISTERS - I don't feel like dancing,1,RadioGlobus,1
SHAKIRA - Whenever wherever,1,RadioGlobus,1
SHAWN MENDES - There's nothing holdin' me back,1,RadioGlobus,1
SWEDISH HOUSE MAFIA - Lioness (Argy remix),1,RadioGlobus,1
SZA - BMF,1,P3,1
Sabrina Carpenter - Espresso,1,P4,1
"Sam Smith, Normani Hamilton - Dancing With A Stranger",1,P3,1
Sam Smith/Normani - Dancing With a Stranger,1,SkalaFM,1
Samma Gamla Vanliga - A36 ft. Branco and Kamelen,1,TheVoice,1
Save Me From Myself - Carpark North,1,Radio100,1
